instance_id,model_id,dataset,split,probe,norm_answer,reason
hallusionbench_229_229,google/gemma-4-E4B-it,hallusionbench,train,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_240_240,google/gemma-4-E4B-it,hallusionbench,train,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_242_242,google/gemma-4-E4B-it,hallusionbench,train,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_249_249,google/gemma-4-E4B-it,hallusionbench,train,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_256_256,google/gemma-4-E4B-it,hallusionbench,cal,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_271_271,google/gemma-4-E4B-it,hallusionbench,train,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_285_285,google/gemma-4-E4B-it,hallusionbench,train,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_288_288,google/gemma-4-E4B-it,hallusionbench,cal,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_346_346,google/gemma-4-E4B-it,hallusionbench,train,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_222_222,google/gemma-4-E4B-it,hallusionbench,cal,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_231_231,google/gemma-4-E4B-it,hallusionbench,train,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_253_253,google/gemma-4-E4B-it,hallusionbench,train,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_264_264,google/gemma-4-E4B-it,hallusionbench,train,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_268_268,google/gemma-4-E4B-it,hallusionbench,train,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_272_272,google/gemma-4-E4B-it,hallusionbench,train,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_287_287,google/gemma-4-E4B-it,hallusionbench,val,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_223_223,google/gemma-4-E4B-it,hallusionbench,train,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_228_228,google/gemma-4-E4B-it,hallusionbench,val,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_239_239,google/gemma-4-E4B-it,hallusionbench,train,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_252_252,google/gemma-4-E4B-it,hallusionbench,val,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_255_255,google/gemma-4-E4B-it,hallusionbench,train,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_232_232,google/gemma-4-E4B-it,hallusionbench,cal,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_234_234,google/gemma-4-E4B-it,hallusionbench,train,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_234_234,google/gemma-4-E4B-it,hallusionbench,train,blur,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_235_235,google/gemma-4-E4B-it,hallusionbench,val,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_235_235,google/gemma-4-E4B-it,hallusionbench,val,blur,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_243_243,google/gemma-4-E4B-it,hallusionbench,cal,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_250_250,google/gemma-4-E4B-it,hallusionbench,test,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_263_263,google/gemma-4-E4B-it,hallusionbench,train,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_267_267,google/gemma-4-E4B-it,hallusionbench,test,blank,unknown,valid_applicable_but_unusable_normalized_answer
hallusionbench_286_286,google/gemma-4-E4B-it,hallusionbench,train,blank,unknown,valid_applicable_but_unusable_normalized_answer
vizwiz_VizWiz_val_00001423_1423,Qwen/Qwen3-VL-8B-Instruct,vizwiz,train,blank,unknown,valid_applicable_but_unusable_normalized_answer
