image_key,excluded_split,other_splits,reason
coco:000000000650,train,val,train_image_seen_later
coco:000000001171,train,test,train_image_seen_later
coco:000000003845,train,cal|test,train_image_seen_later
coco:000000005577,train,cal,train_image_seen_later
coco:000000006033,train,cal|val,train_image_seen_later
coco:000000006033,val,cal|train,validation_image_seen_in_cal_test_or_shift
coco:000000007320,train,test,train_image_seen_later
coco:000000007795,train,cal|val,train_image_seen_later
coco:000000007795,val,cal|train,validation_image_seen_in_cal_test_or_shift
coco:000000008749,train,test,train_image_seen_later
coco:000000011241,train,cal|test,train_image_seen_later
coco:000000012333,train,test,train_image_seen_later
coco:000000013348,train,cal|test|val,train_image_seen_later
coco:000000013348,val,cal|test|train,validation_image_seen_in_cal_test_or_shift
coco:000000015338,train,cal|val,train_image_seen_later
coco:000000015338,val,cal|train,validation_image_seen_in_cal_test_or_shift
coco:000000015738,train,cal,train_image_seen_later
coco:000000016451,train,cal|test,train_image_seen_later
coco:000000016775,train,test|val,train_image_seen_later
coco:000000016775,val,test|train,validation_image_seen_in_cal_test_or_shift
coco:000000017379,train,val,train_image_seen_later
coco:000000017708,train,cal|val,train_image_seen_later
coco:000000017708,val,cal|train,validation_image_seen_in_cal_test_or_shift
coco:000000018150,train,test,train_image_seen_later
coco:000000018918,train,test|val,train_image_seen_later
coco:000000018918,val,test|train,validation_image_seen_in_cal_test_or_shift
coco:000000021327,train,test|val,train_image_seen_later
coco:000000021327,val,test|train,validation_image_seen_in_cal_test_or_shift
coco:000000021645,train,test|val,train_image_seen_later
coco:000000021645,val,test|train,validation_image_seen_in_cal_test_or_shift
coco:000000023084,train,test,train_image_seen_later
coco:000000025972,train,cal,train_image_seen_later
coco:000000031773,train,test,train_image_seen_later
coco:000000031971,train,cal|test,train_image_seen_later
coco:000000033270,train,test,train_image_seen_later
coco:000000034773,train,test|val,train_image_seen_later
coco:000000034773,val,test|train,validation_image_seen_in_cal_test_or_shift
coco:000000037900,train,cal|val,train_image_seen_later
coco:000000037900,val,cal|train,validation_image_seen_in_cal_test_or_shift
coco:000000038645,train,cal,train_image_seen_later
coco:000000039516,train,cal|val,train_image_seen_later
coco:000000039516,val,cal|train,validation_image_seen_in_cal_test_or_shift
coco:000000040361,train,cal,train_image_seen_later
coco:000000041180,train,cal|val,train_image_seen_later
coco:000000041180,val,cal|train,validation_image_seen_in_cal_test_or_shift
coco:000000042190,train,cal,train_image_seen_later
coco:000000042685,train,test,train_image_seen_later
coco:000000044801,train,cal|test,train_image_seen_later
coco:000000044993,train,test,train_image_seen_later
coco:000000045071,train,cal,train_image_seen_later
coco:000000045685,train,test,train_image_seen_later
coco:000000049473,train,test|val,train_image_seen_later
coco:000000049473,val,test|train,validation_image_seen_in_cal_test_or_shift
coco:000000050627,train,cal|test|val,train_image_seen_later
coco:000000050627,val,cal|test|train,validation_image_seen_in_cal_test_or_shift
coco:000000052689,train,test,train_image_seen_later
coco:000000054025,train,cal|val,train_image_seen_later
coco:000000054025,val,cal|train,validation_image_seen_in_cal_test_or_shift
coco:000000059383,train,cal|val,train_image_seen_later
coco:000000059383,val,cal|train,validation_image_seen_in_cal_test_or_shift
coco:000000060213,train,test,train_image_seen_later
coco:000000061507,train,cal|val,train_image_seen_later
coco:000000061507,val,cal|train,validation_image_seen_in_cal_test_or_shift
coco:000000065001,train,val,train_image_seen_later
coco:000000068418,train,test,train_image_seen_later
coco:000000069863,train,test,train_image_seen_later
coco:000000070813,train,cal|test,train_image_seen_later
coco:000000071738,train,cal|test,train_image_seen_later
coco:000000073182,train,cal|test|val,train_image_seen_later
coco:000000073182,val,cal|test|train,validation_image_seen_in_cal_test_or_shift
coco:000000075591,train,test,train_image_seen_later
coco:000000076416,train,cal|shift,train_image_seen_later
coco:000000079213,train,test|val,train_image_seen_later
coco:000000079213,val,test|train,validation_image_seen_in_cal_test_or_shift
coco:000000079446,train,test,train_image_seen_later
coco:000000080022,train,test|val,train_image_seen_later
coco:000000080022,val,test|train,validation_image_seen_in_cal_test_or_shift
coco:000000081336,train,cal|test|val,train_image_seen_later
coco:000000081336,val,cal|test|train,validation_image_seen_in_cal_test_or_shift
coco:000000083275,train,val,train_image_seen_later
coco:000000084410,train,cal|val,train_image_seen_later
coco:000000084410,val,cal|train,validation_image_seen_in_cal_test_or_shift
coco:000000085637,train,val,train_image_seen_later
coco:000000087435,train,test,train_image_seen_later
coco:000000088507,train,cal,train_image_seen_later
coco:000000092624,train,cal|test,train_image_seen_later
coco:000000093946,train,cal|test|val,train_image_seen_later
coco:000000093946,val,cal|test|train,validation_image_seen_in_cal_test_or_shift
coco:000000093948,train,val,train_image_seen_later
coco:000000094501,train,cal|test|val,train_image_seen_later
coco:000000094501,val,cal|test|train,validation_image_seen_in_cal_test_or_shift
coco:000000094944,train,val,train_image_seen_later
coco:000000097994,train,val,train_image_seen_later
coco:000000098493,train,val,train_image_seen_later
coco:000000100215,train,val,train_image_seen_later
coco:000000100238,train,cal,train_image_seen_later
coco:000000102439,train,cal,train_image_seen_later
coco:000000102906,train,test,train_image_seen_later
coco:000000105732,train,cal|test,train_image_seen_later
coco:000000108189,train,cal|val,train_image_seen_later
coco:000000108189,val,cal|train,validation_image_seen_in_cal_test_or_shift
coco:000000111817,train,cal|test,train_image_seen_later
coco:000000113701,train,test|val,train_image_seen_later
coco:000000113701,val,test|train,validation_image_seen_in_cal_test_or_shift
coco:000000114710,train,cal|test,train_image_seen_later
coco:000000114941,train,cal,train_image_seen_later
coco:000000115626,train,cal|test,train_image_seen_later
coco:000000115636,train,test|val,train_image_seen_later
coco:000000115636,val,test|train,validation_image_seen_in_cal_test_or_shift
coco:000000117527,train,cal|val,train_image_seen_later
