image_key,fold
coco:000000001675,0
coco:000000003474,2
coco:000000007319,4
coco:000000012315,0
coco:000000017697,4
coco:000000021138,2
coco:000000022041,3
coco:000000023731,2
coco:000000027616,1
coco:000000032610,4
coco:000000034524,1
coco:000000034825,0
coco:000000039828,1
coco:000000040069,2
coco:000000040937,3
coco:000000041132,1
coco:000000044520,2
coco:000000046306,4
coco:000000046905,4
coco:000000048935,4
coco:000000053539,2
coco:000000055468,2
coco:000000057091,0
coco:000000059501,0
coco:000000061389,4
coco:000000063950,3
coco:000000063953,3
coco:000000067307,1
coco:000000068764,4
coco:000000069189,4
coco:000000069196,1
coco:000000076409,2
coco:000000078741,4
coco:000000082418,2
coco:000000084324,2
coco:000000084447,3
coco:000000084448,0
coco:000000085131,3
coco:000000086229,2
coco:000000091348,2
coco:000000091954,1
coco:000000092213,4
coco:000000093519,3
coco:000000098694,2
coco:000000103582,4
coco:000000104454,2
coco:000000107623,1
coco:000000108639,4
coco:000000112553,1
coco:000000112664,1
coco:000000113412,1
coco:000000113707,2
coco:000000115311,2
coco:000000120648,3
coco:000000123017,1
coco:000000126810,3
coco:000000127381,2
coco:000000127477,3
coco:000000127799,0
coco:000000131115,3
coco:000000136559,0
coco:000000137514,4
coco:000000139721,0
coco:000000141278,4
coco:000000141441,1
coco:000000144746,2
coco:000000145891,4
coco:000000147289,1
coco:000000151497,0
coco:000000154202,2
coco:000000159850,3
coco:000000163738,1
coco:000000164094,4
coco:000000169200,1
coco:000000172648,0
coco:000000174137,4
coco:000000175491,0
coco:000000178407,2
coco:000000180296,3
coco:000000186709,1
coco:000000192824,3
coco:000000192927,3
coco:000000194559,3
coco:000000198312,1
coco:000000198563,1
coco:000000200583,4
coco:000000201148,3
coco:000000202186,0
coco:000000202447,2
coco:000000206255,1
coco:000000209718,0
coco:000000210276,3
coco:000000212025,0
coco:000000215652,0
coco:000000216664,2
coco:000000219492,1
coco:000000219567,0
coco:000000219622,3
coco:000000221681,2
coco:000000222299,4
coco:000000225713,3
coco:000000229740,3
coco:000000230224,4
coco:000000233521,0
coco:000000234467,2
coco:000000235541,0
coco:000000239773,4
coco:000000245576,1
coco:000000245764,2
coco:000000246145,0
coco:000000248133,0
coco:000000252617,3
coco:000000253004,2
coco:000000258509,1
coco:000000258523,3
coco:000000259819,1
coco:000000261225,1
coco:000000265472,1
coco:000000265707,0
coco:000000266083,2
coco:000000268570,3
coco:000000273607,2
coco:000000277793,0
coco:000000279829,0
coco:000000280551,2
coco:000000280732,1
coco:000000280734,1
coco:000000282002,3
coco:000000282221,2
coco:000000287035,0
coco:000000287305,1
coco:000000289698,1
coco:000000292365,2
coco:000000294314,4
coco:000000294475,1
coco:000000303534,3
coco:000000309568,3
coco:000000312056,3
coco:000000315663,4
coco:000000316700,0
coco:000000318723,1
coco:000000320600,2
coco:000000324483,0
coco:000000329147,4
coco:000000331366,2
coco:000000332025,3
coco:000000346707,0
coco:000000348469,3
coco:000000348816,4
coco:000000349777,1
coco:000000349936,3
coco:000000350810,3
coco:000000350898,1
coco:000000352549,0
coco:000000353180,4
coco:000000355256,0
coco:000000355462,2
coco:000000361430,1
coco:000000365353,3
coco:000000367468,2
coco:000000371258,0
coco:000000372862,4
coco:000000373252,0
coco:000000373623,3
coco:000000374977,1
coco:000000375760,1
coco:000000379226,1
coco:000000383185,0
coco:000000389474,0
coco:000000391735,1
coco:000000395800,3
coco:000000399702,0
coco:000000402590,3
coco:000000410533,4
coco:000000418680,3
coco:000000419051,4
coco:000000420344,3
coco:000000424585,4
coco:000000429109,2
coco:000000429580,2
coco:000000430052,0
coco:000000431357,2
coco:000000432468,4
coco:000000433110,2
coco:000000438628,0
coco:000000442809,2
coco:000000447095,0
coco:000000449770,4
coco:000000455365,4
coco:000000461775,2
coco:000000465591,3
coco:000000465695,1
coco:000000467197,1
coco:000000470862,2
coco:000000471064,3
coco:000000471871,3
coco:000000473433,4
coco:000000473964,1
coco:000000475108,0
coco:000000476339,2
coco:000000477061,1
coco:000000480122,3
coco:000000480991,3
coco:000000482841,4
coco:000000482994,4
coco:000000484173,0
coco:000000486501,4
coco:000000489728,0
coco:000000493753,1
coco:000000497599,3
coco:000000498759,4
coco:000000499656,2
coco:000000500473,1
coco:000000500792,3
coco:000000502604,4
coco:000000504158,4
coco:000000513136,2
coco:000000514248,3
coco:000000515904,2
coco:000000518081,0
coco:000000519035,4
coco:000000520389,3
coco:000000520610,4
coco:000000521749,4
coco:000000522909,4
coco:000000526225,4
coco:000000526321,3
coco:000000528136,1
coco:000000529668,4
coco:000000530730,2
coco:000000536321,1
coco:000000541725,0
coco:000000541782,3
coco:000000543719,2
coco:000000548219,3
coco:000000550019,3
coco:000000553165,4
coco:000000557239,2
coco:000000559490,2
coco:000000560064,4
coco:000000560392,2
coco:000000562155,4
coco:000000562289,1
coco:000000563805,2
coco:000000566743,4
coco:000000575911,4
coco:000000577928,0
coco:000000579231,1
hallusionbench:VD/figure/0_0.png,3
hallusionbench:VD/figure/0_1.png,4
hallusionbench:VD/figure/11_1.png,3
hallusionbench:VD/figure/12_0.png,0
hallusionbench:VD/figure/12_1.png,4
hallusionbench:VD/figure/13_1.png,1
hallusionbench:VD/figure/14_0.png,1
hallusionbench:VD/figure/15_1.png,3
hallusionbench:VD/figure/16_1.png,1
hallusionbench:VD/figure/18_1.png,1
hallusionbench:VD/figure/19_0.png,2
hallusionbench:VD/figure/19_1.png,1
hallusionbench:VD/figure/1_1.png,3
hallusionbench:VD/figure/3_0.png,0
hallusionbench:VD/figure/4_1.png,2
hallusionbench:VD/figure/5_1.png,3
hallusionbench:VD/figure/5_2.png,2
hallusionbench:VD/figure/6_0.png,4
hallusionbench:VD/figure/7_0.png,2
hallusionbench:VD/figure/7_1.png,3
hallusionbench:VD/figure/8_0.png,1
hallusionbench:VD/figure/8_1.png,0
hallusionbench:VD/illusion/0_0.png,2
hallusionbench:VD/illusion/10_0.png,3
hallusionbench:VD/illusion/10_1.png,2
hallusionbench:VD/illusion/11_1.png,0
hallusionbench:VD/illusion/12_0.png,3
hallusionbench:VD/illusion/12_1.png,3
hallusionbench:VD/illusion/13_0.png,3
hallusionbench:VD/illusion/13_1.png,3
hallusionbench:VD/illusion/17_0.png,1
hallusionbench:VD/illusion/17_1.png,2
hallusionbench:VD/illusion/18_0.png,2
hallusionbench:VD/illusion/19_0.png,1
hallusionbench:VD/illusion/22_1.png,3
hallusionbench:VD/illusion/23_0.png,0
hallusionbench:VD/illusion/24_0.png,3
hallusionbench:VD/illusion/26_0.png,2
hallusionbench:VD/illusion/27_0.png,0
hallusionbench:VD/illusion/2_1.png,4
hallusionbench:VD/illusion/30_0.png,1
hallusionbench:VD/illusion/30_1.png,1
hallusionbench:VD/illusion/3_1.png,0
hallusionbench:VD/illusion/4_0.png,2
hallusionbench:VD/illusion/5_1.png,1
hallusionbench:VD/illusion/6_0.png,2
hallusionbench:VD/illusion/6_1.png,1
hallusionbench:VD/illusion/7_0.png,0
hallusionbench:VD/illusion/7_1.png,0
hallusionbench:VD/illusion/8_0.png,4
hallusionbench:VD/illusion/8_1.png,3
hallusionbench:VD/illusion/9_0.png,0
hallusionbench:VD/math/10_1.png,0
hallusionbench:VD/math/11_1.png,0
hallusionbench:VD/math/12_0.png,0
hallusionbench:VD/math/13_0.png,2
hallusionbench:VD/math/14_0.png,0
hallusionbench:VD/math/15_0.png,4
hallusionbench:VD/math/15_1.png,2
hallusionbench:VD/math/16_1.png,4
hallusionbench:VD/math/17_1.png,4
hallusionbench:VD/math/1_1.png,3
hallusionbench:VD/math/3_1.png,2
hallusionbench:VD/math/4_0.png,2
hallusionbench:VD/math/4_1.png,0
hallusionbench:VD/math/6_1.png,2
