dataset,model_id,bit,positive_count,negative_count,positive_fraction
hallusionbench,Qwen/Qwen3-VL-8B-Instruct,visual,328,440,0.4270833333333333
hallusionbench,Qwen/Qwen3-VL-8B-Instruct,language,411,357,0.53515625
hallusionbench,Qwen/Qwen3-VL-8B-Instruct,alignment,187,581,0.24348958333333334
hallusionbench,google/gemma-4-E4B-it,visual,246,522,0.3203125
hallusionbench,google/gemma-4-E4B-it,language,503,265,0.6549479166666666
hallusionbench,google/gemma-4-E4B-it,alignment,204,564,0.265625
pope,Qwen/Qwen3-VL-8B-Instruct,visual,471,1882,0.20016999575010624
pope,Qwen/Qwen3-VL-8B-Instruct,language,1335,1018,0.5673608159796005
pope,Qwen/Qwen3-VL-8B-Instruct,alignment,96,2257,0.040798980025499365
pope,google/gemma-4-E4B-it,visual,594,1759,0.2524436889077773
pope,google/gemma-4-E4B-it,language,1392,961,0.5915852103697408
pope,google/gemma-4-E4B-it,alignment,132,2221,0.05609859753506162
vizwiz,Qwen/Qwen3-VL-8B-Instruct,visual,1752,615,0.7401774397972116
vizwiz,Qwen/Qwen3-VL-8B-Instruct,language,529,1838,0.22348964934516266
vizwiz,Qwen/Qwen3-VL-8B-Instruct,alignment,1776,591,0.7503168567807351
vizwiz,google/gemma-4-E4B-it,visual,2281,86,0.9636670891423743
vizwiz,google/gemma-4-E4B-it,language,994,1373,0.41994085340092946
vizwiz,google/gemma-4-E4B-it,alignment,2210,157,0.9336713138994508
vsr,Qwen/Qwen3-VL-8B-Instruct,visual,92,181,0.336996336996337
vsr,Qwen/Qwen3-VL-8B-Instruct,language,131,142,0.47985347985347987
vsr,Qwen/Qwen3-VL-8B-Instruct,alignment,64,209,0.23443223443223443
vsr,google/gemma-4-E4B-it,visual,148,125,0.5421245421245421
vsr,google/gemma-4-E4B-it,language,109,164,0.3992673992673993
vsr,google/gemma-4-E4B-it,alignment,87,186,0.31868131868131866
