dataset,model_id,teacher_label6,count,fraction
hallusionbench,Qwen/Qwen3-VL-8B-Instruct,alignment,28,0.036458333333333336
hallusionbench,Qwen/Qwen3-VL-8B-Instruct,language-prior,235,0.3059895833333333
hallusionbench,Qwen/Qwen3-VL-8B-Instruct,mixed,242,0.3151041666666667
hallusionbench,Qwen/Qwen3-VL-8B-Instruct,no-failure,100,0.13020833333333334
hallusionbench,Qwen/Qwen3-VL-8B-Instruct,unclear,27,0.03515625
hallusionbench,Qwen/Qwen3-VL-8B-Instruct,visual,136,0.17708333333333334
hallusionbench,google/gemma-4-E4B-it,alignment,11,0.014322916666666666
hallusionbench,google/gemma-4-E4B-it,language-prior,329,0.4283854166666667
hallusionbench,google/gemma-4-E4B-it,mixed,227,0.2955729166666667
hallusionbench,google/gemma-4-E4B-it,no-failure,58,0.07552083333333333
hallusionbench,google/gemma-4-E4B-it,unclear,17,0.022135416666666668
hallusionbench,google/gemma-4-E4B-it,visual,126,0.1640625
pope,Qwen/Qwen3-VL-8B-Instruct,alignment,2,0.0008499787505312367
pope,Qwen/Qwen3-VL-8B-Instruct,language-prior,1240,0.5269868253293668
pope,Qwen/Qwen3-VL-8B-Instruct,mixed,139,0.05907352316192095
pope,Qwen/Qwen3-VL-8B-Instruct,no-failure,616,0.2617934551636209
pope,Qwen/Qwen3-VL-8B-Instruct,unclear,2,0.0008499787505312367
pope,Qwen/Qwen3-VL-8B-Instruct,visual,354,0.1504462388440289
pope,google/gemma-4-E4B-it,alignment,13,0.0055248618784530384
pope,google/gemma-4-E4B-it,language-prior,1246,0.5295367615809605
pope,google/gemma-4-E4B-it,mixed,198,0.08414789630259244
pope,google/gemma-4-E4B-it,no-failure,474,0.2014449638759031
pope,google/gemma-4-E4B-it,unclear,3,0.0012749681257968552
pope,google/gemma-4-E4B-it,visual,419,0.1780705482362941
vizwiz,Qwen/Qwen3-VL-8B-Instruct,alignment,269,0.11364596535699198
vizwiz,Qwen/Qwen3-VL-8B-Instruct,language-prior,157,0.06632868610054922
vizwiz,Qwen/Qwen3-VL-8B-Instruct,mixed,1572,0.6641318124207858
vizwiz,Qwen/Qwen3-VL-8B-Instruct,no-failure,78,0.032953105196451206
vizwiz,Qwen/Qwen3-VL-8B-Instruct,unclear,31,0.01309674693705112
vizwiz,Qwen/Qwen3-VL-8B-Instruct,visual,260,0.10984368398817068
vizwiz,google/gemma-4-E4B-it,alignment,10,0.004224757076468103
vizwiz,google/gemma-4-E4B-it,language-prior,19,0.008027038445289396
vizwiz,google/gemma-4-E4B-it,mixed,2228,0.9412758766370933
vizwiz,google/gemma-4-E4B-it,no-failure,24,0.010139416983523447
vizwiz,google/gemma-4-E4B-it,unclear,4,0.0016899028305872412
vizwiz,google/gemma-4-E4B-it,visual,82,0.034643008027038444
vsr,Qwen/Qwen3-VL-8B-Instruct,alignment,0,0.0
vsr,Qwen/Qwen3-VL-8B-Instruct,language-prior,78,0.2857142857142857
vsr,Qwen/Qwen3-VL-8B-Instruct,mixed,71,0.2600732600732601
vsr,Qwen/Qwen3-VL-8B-Instruct,no-failure,65,0.23809523809523808
vsr,Qwen/Qwen3-VL-8B-Instruct,unclear,6,0.02197802197802198
vsr,Qwen/Qwen3-VL-8B-Instruct,visual,53,0.19413919413919414
vsr,google/gemma-4-E4B-it,alignment,10,0.03663003663003663
vsr,google/gemma-4-E4B-it,language-prior,53,0.19413919413919414
vsr,google/gemma-4-E4B-it,mixed,95,0.34798534798534797
vsr,google/gemma-4-E4B-it,no-failure,29,0.10622710622710622
vsr,google/gemma-4-E4B-it,unclear,4,0.014652014652014652
vsr,google/gemma-4-E4B-it,visual,82,0.30036630036630035
