state_id,dataset,model_id,subset_size,permutation_count,js_drift,bit_l1_drift,hidden_relative_l2_drift,set_disagreement
state:e7bc7d49b3da95bc088346dd,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:63764a61ff0b4777417877fc,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:00038b03c9ba7f8545ba9914,vizwiz,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:099fb4ec110bc1bd70c25b7b,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:ba25346cd158d27d18b49b82,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:d97bd4421760d20fac3f7e1b,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:7f05d28ecd2d255d8f2ba857,pope,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:3a8fdf10b6741b5fa6ca409e,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:e34a7543c705a7902c11bdb9,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:3d05c3ec5396bcf81e37d32c,pope,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:723d74498aaac45fef61c00d,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:8588a997f8559c3735d14eec,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:114cc88ad2c5fcfe7767b440,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:8e5c601835141b0317d433c2,pope,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:34b3d8fc1d2a894d66083ece,pope,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:ea31ce341c7f641473693b20,vizwiz,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:123ee26361daed4653c76834,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:87b3b15ddcf46a8a2421f364,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:c76defa5415142cf7d9d3495,pope,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:7a42c43a1125da27a5f1930d,vizwiz,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:1fb24d2272d1814a772ff799,vizwiz,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:205848e35e7110a0470f67dc,vizwiz,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:de616dd1eb75f95c6c2fa50a,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:221d17dfa73aa7fd7dae5f0b,vsr,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:e77444dc2a2da9b9f63f4e2e,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:2d7c1ddc0d4ec658ae3c63ed,hallusionbench,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:0796631216b5268e9654db69,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:debd0aad4e50ec69a42dedc8,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:2485395c8b9e7c4b09e10b06,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:e9357025b0533d4d7c0d933c,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
