state_id,dataset,model_id,subset_size,permutation_count,js_drift,bit_l1_drift,hidden_relative_l2_drift,set_disagreement
state:f12b6fed3bd740ff863e89e2,pope,google/gemma-4-E4B-it,3,6.0,6.947143547605711e-05,0.00809043042678089,0.04731960554246862,0.0
state:9acd9da4655f446e16a65abc,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.014556201635745909,0.017772282017904213,0.06957210172643492,0.0
state:4c4737b47fbe8a5e74fc7b99,pope,google/gemma-4-E4B-it,2,2.0,3.349741686736841e-08,0.0012984182685613632,0.031643935779201146,0.0
state:24b4ee2e9355db9637b78a6d,hallusionbench,google/gemma-4-E4B-it,3,6.0,5.306174978762548e-05,0.008613157810436355,0.0388649199438436,0.10666666666666669
state:532a00d4f712df1929852a17,pope,Qwen/Qwen3-VL-8B-Instruct,4,10.0,4.992107214147632e-05,0.0036446500290185256,0.0277219648182177,0.0
state:cf1593088044f46046817e49,vizwiz,google/gemma-4-E4B-it,2,2.0,4.466118376406543e-08,1.3204917195253074e-06,0.014615223478872742,0.0
state:0ede82e2b4b7c28151d853cc,vizwiz,google/gemma-4-E4B-it,3,6.0,6.087750103050682e-08,0.01902661720911661,0.03594352871429258,0.0
state:1185efb5fd2063e4c9b8e9e7,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.00010809461152140641,0.008848093234898139,0.06575358000307653,0.0
state:e40f0553bef2d48d34d0fe9a,pope,google/gemma-4-E4B-it,3,6.0,5.498047992867803e-05,0.005213957382390315,0.04420613902743397,0.0
state:da74df0512ee8a3b71f42ae7,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,2.364307991843761e-05,0.02499352335929871,0.07852424853907596,0.3555555555555556
state:9f4d8b0386d303189f411ae5,pope,google/gemma-4-E4B-it,4,10.0,0.0018870461876300368,0.030209545074030758,0.08824249392259403,0.0
state:80ae5c210f2cadbde2decb5b,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,7.824089846363515e-06,0.001826561288908124,0.02267827579744568,0.0
state:780006211afc5ebad30fdfc8,vizwiz,google/gemma-4-E4B-it,4,10.0,1.404751220311464e-12,0.00013777136802672896,0.050750346811823145,0.0
state:ebfc36a3b3a43d6dad594714,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,5.877846194001647e-07,0.0011898967156109088,0.04944443204207497,0.35555555555555574
state:cfed224bb5ce1ac1c2bbf352,pope,google/gemma-4-E4B-it,4,10.0,3.623756262577305e-05,0.003366562414594228,0.09786034632751435,0.09999999999999998
state:875bea88abe67a1d4b589aba,vizwiz,google/gemma-4-E4B-it,4,10.0,2.74058924006156e-08,0.0003744243795517965,0.032824454575714195,0.0
state:91ea85ed4dd8346e2d6c1c50,pope,google/gemma-4-E4B-it,4,10.0,9.994845619698931e-05,0.004912630696780979,0.04891876807461448,0.0
state:2ba211307a8fb5b01803e7a2,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,3.1237036284568476e-07,4.0920818315082215e-05,0.03335747156797524,0.0
state:3bf74282f7f59de1c457ddfb,vizwiz,google/gemma-4-E4B-it,3,6.0,5.3813373204452104e-08,2.60190639285914e-06,0.028272555414394027,0.2666666666666667
state:cdb8125fcfc9d986bc846f46,pope,google/gemma-4-E4B-it,4,10.0,8.381393730340254e-05,0.0029381195779569678,0.05555907860971921,0.0
state:f24b34a61828291d95fa5d4f,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0002502722759640159,0.03581685324509942,0.059239764913476295,0.0
state:2d3da37c79bc409a7248d959,pope,google/gemma-4-E4B-it,2,2.0,1.844953750782983e-05,0.006983478553593159,0.02319011342270495,0.0
state:02c4fc750f3de19997eb0f8d,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0015449969463966792,0.023171479627490044,0.062195183692003705,0.0
state:41b5879c5d6f466fcd18545f,pope,google/gemma-4-E4B-it,4,10.0,1.2377619610931206e-05,0.0016541761946427778,0.08228863689142615,0.0
state:96e479595cacd682299ea04c,pope,google/gemma-4-E4B-it,4,10.0,0.00023846494222517744,0.008630566696583627,0.042180742476341807,0.06666666666666665
state:e74d424a999f6a0c8d30102f,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,6.534278963771726e-07,0.02296265959739685,0.05405127107748075,0.16666666666666663
state:dce8c40dea2162ef85c1f26a,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0011128383918199527,0.03464925400330684,0.05512823392727047,0.0
