state_id,dataset,model_id,subset_size,permutation_count,js_drift,bit_l1_drift,hidden_relative_l2_drift,set_disagreement
state:f257f7f3ab1accea5121412a,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:4d8d66257ef8edcab4b7b323,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:7b072b4699dfe39030f75685,pope,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:47c44df1a8424437da7eb749,vizwiz,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:075794ba1ee04f5dba765865,vizwiz,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:5e50f79e20f34529595f2e26,vizwiz,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:6fea5f261a0fb529290185b4,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:8003d3e5580d85475d97e76e,vizwiz,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:fc1d2993b0a31492ec0643e0,vsr,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:fe32b8c144c78bef8e97dfa2,pope,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:de54a4e2487a1ea64579c38d,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:168d6c600d1903bac00fa1c0,vizwiz,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:2fc71b8e5a6c76bd9426acad,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:cda58d95bd296eefd45abcb2,pope,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:0e6795bccbdb64d21d680052,pope,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:b0ac5cb0738aef0498f6c327,pope,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:8a77971e7d8df9a13906b0da,pope,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:e653d02603709131f7a2a152,pope,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:91eaf0db6537573f0b8b88a3,pope,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:3cd6643f949c2b85ff9b79fd,vizwiz,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:576dd9dd77b80ab8864cc72c,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:8a36759884bd77f1cfef6bdd,pope,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:76635f1978c2cd95c9ff7cde,vsr,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:4df1e1838ab912bfef30d398,pope,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:c574790453537e990186e230,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:d17afbda13661a1467d3d32e,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:152ed26948716d14edf42e5a,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:21a8377920f50ace6629df49,vizwiz,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:6d5ec285a2a13cc5def3511e,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:593ae8dd2b1e840d8dadd645,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:ca6a9383edbbc330181c6d5f,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:e724617eb2e304c402771112,vizwiz,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:8ff0143d4c9ae6160c6a0313,pope,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:78d85ac3db43774d76dfd8ad,vizwiz,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:ae654f50a398c5ee578f89ab,pope,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:548c499abd4b7693fef8e781,pope,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:10ac43d02e2f1a02c018e2dd,pope,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:b27c2f87275bda3588c1fa72,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:f22a80974789f41f86f3e425,vizwiz,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:3d452023f0b850181e7c8b18,vizwiz,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:2ebec2d93c3f07e39dbf8b86,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:cff7f14ae8cd931a418b00ae,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:31dc9559df764eced731dac8,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:60863a0ac25708e600dbe32e,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:0dae55f172524250c97feaa3,pope,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:9eac905613f56d92a9a9e92a,pope,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:0fce263adba9dde8d5fa3738,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:71b7d45e3814cad87dda0054,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:48432d9064fe4e88914a887c,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:bcf86aaeae92b4781500d549,vizwiz,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:bba726d4adf62d368c39e05a,pope,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:2dd7b958ce780be9277b431c,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:5eefd3b74bc371fb13cf4b5f,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:dcd0d368e2d1b14bc2664b3e,pope,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:99836a97db1c0c7bbb98cf81,pope,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:ae0b94f118a1f1a2da41ca0e,vizwiz,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:01b07395b6fd99f1ea3e96e2,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:675640f632c5e830d5a4522e,vsr,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:f8fa04ef826fa42382818e28,vizwiz,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:2ab6e0b0c267b0ff79e9d93a,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:13027a6fc66216aa74b0045e,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:24ace7038f0e6d0d6f653341,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:ae6f10dec219b5422e79ab9f,pope,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:224b48656552c7367aa97410,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:b827cf19e0295a45aed287ff,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:b44ef7765477e0daec2b42a1,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:fc2abcf92364a658bf93182c,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:8d85c607b65c988d9f93058d,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:7c88340b4cf808c03f8d8ccf,pope,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
