condition,maximum_budget,target_coverage,metric,estimate,ci_lower,ci_upper,confidence,resamples,group_count,row_count
blank_first,1,0.9,source_bit_macro_f1,0.6933483554646468,0.6771379647380303,0.7095523784500949,0.95,2000,1048,2400
blank_first,1,0.9,six_way_macro_f1,0.38543676872319654,0.3679794012671548,0.40178261581599245,0.95,2000,1048,2400
blank_first,1,0.9,empirical_coverage,0.99,0.9858921161825727,0.9937969099329288,0.95,2000,1048,2400
blank_first,1,0.9,average_set_size,4.011666666666667,3.956673186662131,4.064478909591396,0.95,2000,1048,2400
blank_first,1,0.9,mean_acquisition_cost,1.0,1.0,1.0,0.95,2000,1048,2400
blank_first,1,0.95,source_bit_macro_f1,0.6933483554646468,0.6771379647380303,0.7095523784500949,0.95,2000,1048,2400
blank_first,1,0.95,six_way_macro_f1,0.38543676872319654,0.3679794012671548,0.40178261581599245,0.95,2000,1048,2400
blank_first,1,0.95,empirical_coverage,0.9958333333333333,0.993277169572623,0.9983235540653814,0.95,2000,1048,2400
blank_first,1,0.95,average_set_size,4.324166666666667,4.280230638351393,4.3656101301670285,0.95,2000,1048,2400
blank_first,1,0.95,mean_acquisition_cost,1.0,1.0,1.0,0.95,2000,1048,2400
blank_first,2,0.9,source_bit_macro_f1,0.8415138169558946,0.8305695212194536,0.8516721375860243,0.95,2000,1048,2400
blank_first,2,0.9,six_way_macro_f1,0.4848169843956837,0.46518974030095295,0.5034484101838028,0.95,2000,1048,2400
blank_first,2,0.9,empirical_coverage,0.9941666666666666,0.9909465020576131,0.9970931437772378,0.95,2000,1048,2400
blank_first,2,0.9,average_set_size,3.83125,3.774977795594646,3.8876507866787247,0.95,2000,1048,2400
blank_first,2,0.9,mean_acquisition_cost,2.0,2.0,2.0,0.95,2000,1048,2400
blank_first,2,0.95,source_bit_macro_f1,0.8415138169558946,0.8305695212194536,0.8516721375860243,0.95,2000,1048,2400
blank_first,2,0.95,six_way_macro_f1,0.4848169843956837,0.46518974030095295,0.5034484101838028,0.95,2000,1048,2400
blank_first,2,0.95,empirical_coverage,0.9991666666666666,0.997893850042123,1.0,0.95,2000,1048,2400
blank_first,2,0.95,average_set_size,5.187083333333334,5.141991466689333,5.2322664442077125,0.95,2000,1048,2400
blank_first,2,0.95,mean_acquisition_cost,2.0,2.0,2.0,0.95,2000,1048,2400
blank_first,3,0.9,source_bit_macro_f1,0.9348807034078676,0.9271396151938998,0.9427751992069204,0.95,2000,1048,2400
blank_first,3,0.9,six_way_macro_f1,0.6670449993609356,0.6486449887296755,0.6835713151346254,0.95,2000,1048,2400
blank_first,3,0.9,empirical_coverage,0.9816666666666667,0.97624704218107,0.9866558242980261,0.95,2000,1048,2400
blank_first,3,0.9,average_set_size,3.4483333333333333,3.3861143899889323,3.507008729146867,0.95,2000,1048,2400
blank_first,3,0.9,mean_acquisition_cost,3.0,3.0,3.0,0.95,2000,1048,2400
blank_first,3,0.95,source_bit_macro_f1,0.9348807034078676,0.9271396151938998,0.9427751992069204,0.95,2000,1048,2400
blank_first,3,0.95,six_way_macro_f1,0.6670449993609356,0.6486449887296755,0.6835713151346254,0.95,2000,1048,2400
blank_first,3,0.95,empirical_coverage,0.9995833333333334,0.9987298899237934,1.0,0.95,2000,1048,2400
blank_first,3,0.95,average_set_size,4.835,4.775580791940326,4.897035628594616,0.95,2000,1048,2400
blank_first,3,0.95,mean_acquisition_cost,3.0,3.0,3.0,0.95,2000,1048,2400
blank_first,4,0.9,source_bit_macro_f1,0.9668596563694608,0.9611439531275455,0.9722190793508991,0.95,2000,1048,2400
blank_first,4,0.9,six_way_macro_f1,0.7330634300240249,0.7169692606603291,0.7466372447944513,0.95,2000,1048,2400
blank_first,4,0.9,empirical_coverage,0.97875,0.9730063729200836,0.9842845326716294,0.95,2000,1048,2400
blank_first,4,0.9,average_set_size,4.044583333333334,3.9667612333711224,4.115029387069689,0.95,2000,1048,2400
blank_first,4,0.9,mean_acquisition_cost,4.0,4.0,4.0,0.95,2000,1048,2400
blank_first,4,0.95,source_bit_macro_f1,0.9668596563694608,0.9611439531275455,0.9722190793508991,0.95,2000,1048,2400
blank_first,4,0.95,six_way_macro_f1,0.7330634300240249,0.7169692606603291,0.7466372447944513,0.95,2000,1048,2400
blank_first,4,0.95,empirical_coverage,0.99875,0.9971119721657596,1.0,0.95,2000,1048,2400
blank_first,4,0.95,average_set_size,4.598333333333334,4.5307313328249625,4.664887752427911,0.95,2000,1048,2400
blank_first,4,0.95,mean_acquisition_cost,4.0,4.0,4.0,0.95,2000,1048,2400
blank_first,7,0.9,source_bit_macro_f1,0.9945310972449599,0.9920802884126384,0.9966753989779944,0.95,2000,1048,2400
blank_first,7,0.9,six_way_macro_f1,0.7697286824384438,0.7573132627672257,0.7812631955653211,0.95,2000,1048,2400
blank_first,7,0.9,empirical_coverage,0.99875,0.9971167901457942,1.0,0.95,2000,1048,2400
blank_first,7,0.9,average_set_size,4.515416666666667,4.441157475490196,4.590373477809399,0.95,2000,1048,2400
blank_first,7,0.9,mean_acquisition_cost,6.0,6.0,6.0,0.95,2000,1048,2400
blank_first,7,0.95,source_bit_macro_f1,0.9945310972449599,0.9920802884126384,0.9966753989779944,0.95,2000,1048,2400
blank_first,7,0.95,six_way_macro_f1,0.7697286824384438,0.7573132627672257,0.7812631955653211,0.95,2000,1048,2400
blank_first,7,0.95,empirical_coverage,0.99875,0.9971167901457942,1.0,0.95,2000,1048,2400
blank_first,7,0.95,average_set_size,4.515416666666667,4.441157475490196,4.590373477809399,0.95,2000,1048,2400
blank_first,7,0.95,mean_acquisition_cost,6.0,6.0,6.0,0.95,2000,1048,2400
clean_only_learned,1,0.9,source_bit_macro_f1,0.5657329633299907,0.5478986487370844,0.5837225210401649,0.95,2000,1048,2400
clean_only_learned,1,0.9,six_way_macro_f1,0.21930182056995154,0.20435622841223708,0.23268819461244242,0.95,2000,1048,2400
clean_only_learned,1,0.9,empirical_coverage,0.9033333333333333,0.8914118544331265,0.9156340096828591,0.95,2000,1048,2400
clean_only_learned,1,0.9,average_set_size,4.756666666666667,4.724576008327375,4.7865586605929495,0.95,2000,1048,2400
clean_only_learned,1,0.9,mean_acquisition_cost,0.0,0.0,0.0,0.95,2000,1048,2400
clean_only_learned,1,0.95,source_bit_macro_f1,0.5657329633299907,0.5478986487370844,0.5837225210401649,0.95,2000,1048,2400
clean_only_learned,1,0.95,six_way_macro_f1,0.21930182056995154,0.20435622841223708,0.23268819461244242,0.95,2000,1048,2400
clean_only_learned,1,0.95,empirical_coverage,0.9045833333333333,0.8926429483379691,0.9167380904785866,0.95,2000,1048,2400
clean_only_learned,1,0.95,average_set_size,4.786666666666667,4.757616915392201,4.813905553389053,0.95,2000,1048,2400
clean_only_learned,1,0.95,mean_acquisition_cost,0.0,0.0,0.0,0.95,2000,1048,2400
clean_only_learned,2,0.9,source_bit_macro_f1,0.5657329633299907,0.5478986487370844,0.5837225210401649,0.95,2000,1048,2400
clean_only_learned,2,0.9,six_way_macro_f1,0.21930182056995154,0.20435622841223708,0.23268819461244242,0.95,2000,1048,2400
clean_only_learned,2,0.9,empirical_coverage,0.9033333333333333,0.8914118544331265,0.9156340096828591,0.95,2000,1048,2400
clean_only_learned,2,0.9,average_set_size,4.756666666666667,4.724576008327375,4.7865586605929495,0.95,2000,1048,2400
clean_only_learned,2,0.9,mean_acquisition_cost,0.0,0.0,0.0,0.95,2000,1048,2400
clean_only_learned,2,0.95,source_bit_macro_f1,0.5657329633299907,0.5478986487370844,0.5837225210401649,0.95,2000,1048,2400
clean_only_learned,2,0.95,six_way_macro_f1,0.21930182056995154,0.20435622841223708,0.23268819461244242,0.95,2000,1048,2400
clean_only_learned,2,0.95,empirical_coverage,0.9045833333333333,0.8926429483379691,0.9167380904785866,0.95,2000,1048,2400
clean_only_learned,2,0.95,average_set_size,4.786666666666667,4.757616915392201,4.813905553389053,0.95,2000,1048,2400
clean_only_learned,2,0.95,mean_acquisition_cost,0.0,0.0,0.0,0.95,2000,1048,2400
clean_only_learned,3,0.9,source_bit_macro_f1,0.5657329633299907,0.5478986487370844,0.5837225210401649,0.95,2000,1048,2400
clean_only_learned,3,0.9,six_way_macro_f1,0.21930182056995154,0.20435622841223708,0.23268819461244242,0.95,2000,1048,2400
clean_only_learned,3,0.9,empirical_coverage,0.9033333333333333,0.8914118544331265,0.9156340096828591,0.95,2000,1048,2400
clean_only_learned,3,0.9,average_set_size,4.756666666666667,4.724576008327375,4.7865586605929495,0.95,2000,1048,2400
clean_only_learned,3,0.9,mean_acquisition_cost,0.0,0.0,0.0,0.95,2000,1048,2400
clean_only_learned,3,0.95,source_bit_macro_f1,0.5657329633299907,0.5478986487370844,0.5837225210401649,0.95,2000,1048,2400
clean_only_learned,3,0.95,six_way_macro_f1,0.21930182056995154,0.20435622841223708,0.23268819461244242,0.95,2000,1048,2400
clean_only_learned,3,0.95,empirical_coverage,0.9045833333333333,0.8926429483379691,0.9167380904785866,0.95,2000,1048,2400
clean_only_learned,3,0.95,average_set_size,4.786666666666667,4.757616915392201,4.813905553389053,0.95,2000,1048,2400
clean_only_learned,3,0.95,mean_acquisition_cost,0.0,0.0,0.0,0.95,2000,1048,2400
clean_only_learned,4,0.9,source_bit_macro_f1,0.5657329633299907,0.5478986487370844,0.5837225210401649,0.95,2000,1048,2400
clean_only_learned,4,0.9,six_way_macro_f1,0.21930182056995154,0.20435622841223708,0.23268819461244242,0.95,2000,1048,2400
clean_only_learned,4,0.9,empirical_coverage,0.9033333333333333,0.8914118544331265,0.9156340096828591,0.95,2000,1048,2400
clean_only_learned,4,0.9,average_set_size,4.756666666666667,4.724576008327375,4.7865586605929495,0.95,2000,1048,2400
clean_only_learned,4,0.9,mean_acquisition_cost,0.0,0.0,0.0,0.95,2000,1048,2400
clean_only_learned,4,0.95,source_bit_macro_f1,0.5657329633299907,0.5478986487370844,0.5837225210401649,0.95,2000,1048,2400
clean_only_learned,4,0.95,six_way_macro_f1,0.21930182056995154,0.20435622841223708,0.23268819461244242,0.95,2000,1048,2400
clean_only_learned,4,0.95,empirical_coverage,0.9045833333333333,0.8926429483379691,0.9167380904785866,0.95,2000,1048,2400
clean_only_learned,4,0.95,average_set_size,4.786666666666667,4.757616915392201,4.813905553389053,0.95,2000,1048,2400
clean_only_learned,4,0.95,mean_acquisition_cost,0.0,0.0,0.0,0.95,2000,1048,2400
clean_only_learned,7,0.9,source_bit_macro_f1,0.5657329633299907,0.5478986487370844,0.5837225210401649,0.95,2000,1048,2400
clean_only_learned,7,0.9,six_way_macro_f1,0.21930182056995154,0.20435622841223708,0.23268819461244242,0.95,2000,1048,2400
clean_only_learned,7,0.9,empirical_coverage,0.9033333333333333,0.8914118544331265,0.9156340096828591,0.95,2000,1048,2400
clean_only_learned,7,0.9,average_set_size,4.756666666666667,4.724576008327375,4.7865586605929495,0.95,2000,1048,2400
clean_only_learned,7,0.9,mean_acquisition_cost,0.0,0.0,0.0,0.95,2000,1048,2400
