model_id,instance_id,clean_latency_ms,acquired_probe_latency_ms,total_generation_latency_ms,normalized_latency,additional_passes
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10081009_0,229.4909954071045,7171.769857406616,7401.260852813721,32.250768008061875,6
google/gemma-4-E4B-it,illusionbench_10201020_0,362.3523712158203,5387.827396392822,5750.179767608643,15.869027566494891,6
google/gemma-4-E4B-it,illusionbench_10055040_3,405.346155166626,10261.724710464478,10667.070865631104,26.315954227433544,6
google/gemma-4-E4B-it,illusionbench_10092036_1,356.9328784942627,18432.14750289917,18789.080381393433,52.64037446103595,6
google/gemma-4-E4B-it,prehal_1001129_4493d8c145000db9_1111,177.30212211608887,6035.901784896851,6213.203907012939,35.04303181969155,6
google/gemma-4-E4B-it,prehal_1823_fb94969b664bca21_874,230.58462142944336,20334.760189056396,20565.34481048584,89.18784211625594,6
Qwen/Qwen3-VL-8B-Instruct,prehal_COCO_val2014_000000353866_a0059be09eb22691_6406,224.1344451904297,5394.872665405273,5619.007110595703,25.069806230906043,6
google/gemma-4-E4B-it,illusionbench_10078038_1,329.67448234558105,5773.634672164917,6103.309154510498,18.513137902231414,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10023005_3,290.496826171875,5726.702690124512,6017.199516296387,20.71347764996323,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10050009_1,599.1404056549072,6962.317228317261,7561.457633972168,12.620510255366444,5
Qwen/Qwen3-VL-8B-Instruct,prehal_fa2e05363e852401_e97e3a6541f70463_9236,833.0461978912354,7539.600133895874,8372.64633178711,10.050638671638549,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10116025_0,247.74765968322754,6570.792675018311,6818.540334701538,27.522118043091858,6
Qwen/Qwen3-VL-8B-Instruct,prehal_7408fef212a5d3bc_17ed9e6caf765b9f_7352,590.7557010650635,7418.4887409210205,8009.244441986084,13.557625305259606,6
google/gemma-4-E4B-it,illusionbench_10063021_1,398.6842632293701,9738.16990852356,10136.85417175293,25.42576947894484,6
Qwen/Qwen3-VL-8B-Instruct,prehal_1160_4aad382d4d8a4a11_590,198.75049591064453,4678.863048553467,4877.613544464111,24.541390561646793,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10024017_1,223.89769554138184,4046.6344356536865,4270.532131195068,19.07358680431692,6
Qwen/Qwen3-VL-8B-Instruct,prehal_f0a1518a5c6c9c74_aabab7555765c4b9_9125,526.9570350646973,6441.320896148682,6968.277931213379,13.223616855893853,5
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10050027_3,259.2439651489258,12936.00606918335,13195.250034332275,50.89896702803518,6
Qwen/Qwen3-VL-8B-Instruct,prehal_COCO_val2014_000000161112_d31a89ba06178942_6181,372.33519554138184,3952.511787414551,4324.846982955933,11.615466479518624,6
google/gemma-4-E4B-it,illusionbench_10082016_1,321.8700885772705,6012.3450756073,6334.21516418457,19.67941535724259,6
