heldout_model_id,condition,maximum_budget,target_coverage,row_count,mean_acquisition_cost,source_bit_macro_f1,six_way_macro_f1,empirical_coverage,average_set_size
Qwen/Qwen3-VL-8B-Instruct,blank_first,1,0.9,780,1.0,0.8043224031690969,0.3995341909181626,0.9717948717948718,3.6
Qwen/Qwen3-VL-8B-Instruct,blank_first,1,0.95,780,1.0,0.8043224031690969,0.3995341909181626,0.9782051282051282,3.6717948717948716
Qwen/Qwen3-VL-8B-Instruct,blank_first,2,0.9,780,2.0,0.8900131172324862,0.5105967909018579,0.9923076923076923,4.187179487179487
Qwen/Qwen3-VL-8B-Instruct,blank_first,2,0.95,780,2.0,0.8900131172324862,0.5105967909018579,1.0,4.552564102564102
Qwen/Qwen3-VL-8B-Instruct,blank_first,3,0.9,780,3.0,0.9300394278320545,0.7123611872055392,0.9833333333333333,4.098717948717948
Qwen/Qwen3-VL-8B-Instruct,blank_first,3,0.95,780,3.0,0.9300394278320545,0.7123611872055392,0.9935897435897436,4.208974358974359
Qwen/Qwen3-VL-8B-Instruct,blank_first,4,0.9,780,4.0,0.9603827918781439,0.7903436106224389,0.9833333333333333,3.9256410256410255
Qwen/Qwen3-VL-8B-Instruct,blank_first,4,0.95,780,4.0,0.9603827918781439,0.7903436106224389,0.9884615384615385,3.9974358974358974
Qwen/Qwen3-VL-8B-Instruct,blank_first,7,0.9,780,6.012820512820513,0.9777700272616024,0.8371790152044111,0.985897435897436,3.8897435897435897
Qwen/Qwen3-VL-8B-Instruct,blank_first,7,0.95,780,6.012820512820513,0.9777700272616024,0.8371790152044111,0.9948717948717949,3.9602564102564104
Qwen/Qwen3-VL-8B-Instruct,clean_only_learned,1,0.9,780,0.0,0.6825604713483643,0.1765950606038397,0.867948717948718,4.1320512820512825
Qwen/Qwen3-VL-8B-Instruct,clean_only_learned,1,0.95,780,0.0,0.6825604713483643,0.1765950606038397,0.9,5.194871794871795
Qwen/Qwen3-VL-8B-Instruct,clean_only_learned,2,0.9,780,0.0,0.6825604713483643,0.1765950606038397,0.867948717948718,4.1320512820512825
Qwen/Qwen3-VL-8B-Instruct,clean_only_learned,2,0.95,780,0.0,0.6825604713483643,0.1765950606038397,0.9,5.194871794871795
Qwen/Qwen3-VL-8B-Instruct,clean_only_learned,3,0.9,780,0.0,0.6825604713483643,0.1765950606038397,0.867948717948718,4.1320512820512825
Qwen/Qwen3-VL-8B-Instruct,clean_only_learned,3,0.95,780,0.0,0.6825604713483643,0.1765950606038397,0.9,5.194871794871795
Qwen/Qwen3-VL-8B-Instruct,clean_only_learned,4,0.9,780,0.0,0.6825604713483643,0.1765950606038397,0.867948717948718,4.1320512820512825
Qwen/Qwen3-VL-8B-Instruct,clean_only_learned,4,0.95,780,0.0,0.6825604713483643,0.1765950606038397,0.9,5.194871794871795
Qwen/Qwen3-VL-8B-Instruct,clean_only_learned,7,0.9,780,0.0,0.6825604713483643,0.1765950606038397,0.867948717948718,4.1320512820512825
Qwen/Qwen3-VL-8B-Instruct,clean_only_learned,7,0.95,780,0.0,0.6825604713483643,0.1765950606038397,0.9,5.194871794871795
Qwen/Qwen3-VL-8B-Instruct,grounding_first,1,0.9,780,1.0,0.7355985302643567,0.28306402874386355,0.9653846153846154,4.43974358974359
Qwen/Qwen3-VL-8B-Instruct,grounding_first,1,0.95,780,1.0,0.7355985302643567,0.28306402874386355,0.9666666666666667,4.507692307692308
Qwen/Qwen3-VL-8B-Instruct,grounding_first,2,0.9,780,2.0,0.8900131172324862,0.5105967909018579,0.9923076923076923,4.187179487179487
