left,right,maximum_budget,target_coverage,metric,estimate,ci_lower,ci_upper,confidence,resamples,group_count,row_count,p_value_two_sided,primary_comparison,multiplicity_correction,p_value_holm,reject_familywise
proactive,random,1,0.9,source_bit_macro_f1,0.04579246389347669,0.03232801853750875,0.05917527044900693,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,random,1,0.9,empirical_coverage,0.02041666666666664,0.008524786417804861,0.03252710592160135,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,random,1,0.9,average_set_size,-0.38000000000000034,-0.43610331604658026,-0.32224803665826657,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,random,1,0.9,mean_acquisition_cost,0.0,0.0,0.0,0.95,2000,1048,2400,1.0,False,none,,
proactive,clean_only_learned,1,0.9,source_bit_macro_f1,0.10011913626604318,0.08471603588836839,0.11564984084238275,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,1,0.9,empirical_coverage,0.043333333333333335,0.028701566591010082,0.057709386716974294,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,1,0.9,average_set_size,-0.81,-0.860135943547632,-0.759054929095889,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,1,0.9,mean_acquisition_cost,1.0,1.0,1.0,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,1,0.9,source_bit_macro_f1,0.13893282869688095,0.12397831281303391,0.1539557862843841,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,1,0.9,empirical_coverage,0.07999999999999996,0.0644755204446305,0.09574621185610299,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,1,0.9,average_set_size,0.14375000000000027,0.09184594445741134,0.19792663082424763,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,1,0.9,mean_acquisition_cost,1.0,1.0,1.0,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,random,1,0.95,source_bit_macro_f1,0.04579246389347669,0.03232801853750875,0.05917527044900693,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,random,1,0.95,empirical_coverage,0.030833333333333268,0.022050153789071894,0.04002070147394488,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,random,1,0.95,average_set_size,-0.2162500000000005,-0.25461917490811925,-0.17568053908787298,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
