condition,maximum_budget,target_coverage,row_count,mean_acquisition_cost,source_bit_macro_f1,source_bit_micro_f1,six_way_macro_f1,coverage,average_set_size,pareto_nondominated
blank_first,1,0.9,2400,1.0,0.6933483554646468,0.7157847733869167,0.38543676872319654,0.99,4.011666666666667,False
blank_first,1,0.95,2400,1.0,0.6933483554646468,0.7157847733869167,0.38543676872319654,0.9958333333333333,4.324166666666667,False
blank_first,2,0.9,2400,2.0,0.8415138169558946,0.8233884495566739,0.4848169843956837,0.9941666666666666,3.83125,False
blank_first,2,0.95,2400,2.0,0.8415138169558946,0.8233884495566739,0.4848169843956837,0.9991666666666666,5.187083333333334,False
blank_first,3,0.9,2400,3.0,0.9348807034078676,0.930460333006856,0.6670449993609356,0.9816666666666667,3.4483333333333333,False
blank_first,3,0.95,2400,3.0,0.9348807034078676,0.930460333006856,0.6670449993609356,0.9995833333333334,4.835,False
blank_first,4,0.9,2400,4.0,0.9668596563694608,0.9645909645909646,0.7330634300240249,0.97875,4.044583333333334,False
blank_first,4,0.95,2400,4.0,0.9668596563694608,0.9645909645909646,0.7330634300240249,0.99875,4.598333333333334,False
blank_first,7,0.9,2400,6.0,0.9945310972449599,0.9945146673026473,0.7697286824384438,0.99875,4.515416666666667,True
blank_first,7,0.95,2400,6.0,0.9945310972449599,0.9945146673026473,0.7697286824384438,0.99875,4.515416666666667,True
clean_only_learned,1,0.9,2400,0.0,0.5657329633299907,0.5275229357798165,0.21930182056995154,0.9033333333333333,4.756666666666667,False
clean_only_learned,1,0.95,2400,0.0,0.5657329633299907,0.5275229357798165,0.21930182056995154,0.9045833333333333,4.786666666666667,False
clean_only_learned,2,0.9,2400,0.0,0.5657329633299907,0.5275229357798165,0.21930182056995154,0.9033333333333333,4.756666666666667,False
clean_only_learned,2,0.95,2400,0.0,0.5657329633299907,0.5275229357798165,0.21930182056995154,0.9045833333333333,4.786666666666667,False
clean_only_learned,3,0.9,2400,0.0,0.5657329633299907,0.5275229357798165,0.21930182056995154,0.9033333333333333,4.756666666666667,False
clean_only_learned,3,0.95,2400,0.0,0.5657329633299907,0.5275229357798165,0.21930182056995154,0.9045833333333333,4.786666666666667,False
clean_only_learned,4,0.9,2400,0.0,0.5657329633299907,0.5275229357798165,0.21930182056995154,0.9033333333333333,4.756666666666667,False
clean_only_learned,4,0.95,2400,0.0,0.5657329633299907,0.5275229357798165,0.21930182056995154,0.9045833333333333,4.786666666666667,False
clean_only_learned,7,0.9,2400,0.0,0.5657329633299907,0.5275229357798165,0.21930182056995154,0.9033333333333333,4.756666666666667,False
clean_only_learned,7,0.95,2400,0.0,0.5657329633299907,0.5275229357798165,0.21930182056995154,0.9045833333333333,4.786666666666667,False
